YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
2013,MO00601,LAMAR,"4,511",9,0,0,0,0,0,0
2013,MO00609,LIBERAL,751,6,0,0,0,0,0,0
2013,MO00700,BATES,"9,407",6,0,0,0,0,0,0
2013,MO00701,ADRIAN,"1,633",5,0,0,0,0,0,0
2013,MO00702,BUTLER,"4,137",5,0,0,0,0,0,0
2013,MO00704,RICH HILL,"1,351",5,0,0,0,0,0,0
2013,MO00800,BENTON,"14,541",12,0,0,0,0,0,0
2013,MO00801,COLE CAMP,"1,111",12,0,0,0,0,0,0
2013,MO00802,LINCOLN,"1,183",5,0,0,0,0,0,0
2013,MO00803,WARSAW,"2,121",7,0,0,0,0,0,0
2013,MO00900,BOLLINGER,"10,921",5,0,0,0,0,0,0
2013,MO00902,MARBLE HILL,"1,502",5,0,0,0,0,0,0
2013,MO01000,BOONE,"45,679",5,0,0,0,0,0,0
2013,MO01001,CENTRALIA,"4,169",6,0,0,0,0,0,0
2013,MO01002,COLUMBIA,"114,587",7,0,0,0,0,0,0
2013,MO01003,STURGEON,901,12,0,0,0,0,0,0
2013,MO01004,UNIV OF MO: COLUMBIA,0,7,0,0,0,0,0,0
2013,MO01005,ASHLAND,"3,844",6,0,0,0,0,0,0
2013,MO01006,HALLSVILLE,"1,544",6,0,0,0,0,0,0
2013,MO01100,BUCHANAN,"12,729",5,0,0,0,0,0,0
2013,MO01101,ST. JOSEPH,"77,347",5,0,0,0,0,0,0
2013,MO01111,MO WESTERN STATE UNIVERS,0,6,0,0,0,0,0,0
2013,MO01200,BUTLER,"25,552",5,0,0,0,0,0,0
2013,MO01202,POPLAR BLUFF,"17,216",5,0,0,0,0,0,0
2013,MO01203,QULIN,458,6,0,0,0,0,0,0
